product.code,importId,qty,unit.id,productName,saleSupplySelect,deliveredQty,price,companyExTaxTotal,inTaxPrice,exTaxTotal
110-FLOSS-HDE,4703/110-FLOSS-HDE,1400,1,110-FLOSS-HDE,1,1400,0,0,0,0
100-FINGERB-144,4686/100-FINGERB-144,5040,1,100-FINGERB-144,1,5040,0.57,2872.7999999999997,0.57,2872.7999999999997
110-FLOSS-YD-72,4621/110-FLOSS-YD-72,2,1,110-FLOSS-YD-72,1,2,38.79,77.58,38.79,77.58
100-198-DE,4616/100-198-DE,225,1,100-198-DE,1,225,0,0,0,0
810-COMB-NW,4616/810-COMB-NW,225,1,810-COMB-NW,1,225,0,0,0,0
110-Washcloth,4616/110-Washcloth,225,1,110-Washcloth,1,225,0,0,0,0
100-130,4616/100-130,25,1,100-130,1,25,0,0,0,0
100-TBCAP,4616/100-TBCAP,25,1,100-TBCAP,1,25,0,0,0,0
100-RAZ-S,4604/100-RAZ-S,8,1,100-RAZ-S,1,8,87,696,87,696
300-ZS-CHRG-PORT,4599/300-ZS-CHRG-PORT,1,1,300-ZS-CHRG-PORT,1,1,0,0,0,0
100-FINGERB-144,4593/100-FINGERB-144,1,1,100-FINGERB-144,1,1,77.76,77.76,77.76,77.76
100-DENTUREBRUSH,4581/100-DENTUREBRUSH,1,1,100-DENTUREBRUSH,1,1,80.44,80.44,80.44,80.44
100-198-DE,4578/100-198-DE,75,1,100-198-DE,1,75,3.29,246.75,3.29,246.75
100-130,4578/100-130,75,1,100-130,1,75,2.46,184.5,2.46,184.5
825-DEO-16,4578/825-DEO-16,75,1,825-DEO-16,1,75,0,0,0,0
100-TBCAP,4578/100-TBCAP,75,1,100-TBCAP,1,75,0,0,0,0
810-COMB-NW,4578/810-COMB-NW,150,1,810-COMB-NW,1,150,0,0,0,0
110-Washcloth,4578/110-Washcloth,150,1,110-Washcloth,1,150,0,0,0,0
100-236-Z,4577/100-236-Z,1,1,100-236-Z,1,1,80.44,80.44,80.44,80.44
110-FLOSS-YD-72,4560/110-FLOSS-YD-72,3,1,110-FLOSS-YD-72,1,3,38.79,116.37,38.79,116.37
110-SS08,4549/110-SS08,1,1,110-SS08,1,1,46.64,46.64,46.64,46.64
600-830-POUCH-DD-8.5X11,4508/600-830-POUCH-DD-8.5X11,200,1,600-830-POUCH-DD-8.5X11,1,200,1.22,244,1.22,244
100-819-I-DE,4474/100-819-I-DE,2,1,100-819-I-DE,1,2,76.32,152.64,76.32,152.64
110-FLOSS-YD-72,4465/110-FLOSS-YD-72,1,1,110-FLOSS-YD-72,1,1,37.44,37.44,37.44,37.44
830-POUCH-CL,4437/830-POUCH-CL,1,1,830-POUCH-CL,1,1,61.84,61.84,61.84,61.84
830-POUCH-CL,4434/830-POUCH-CL,1,1,830-POUCH-CL,1,1,61.84,61.84,61.84,61.84
100-FINGERB-144,4432/100-FINGERB-144,6,1,100-FINGERB-144,1,6,77.76,466.56000000000006,77.76,466.56000000000006
110-FLOSS-YD-72,4417/110-FLOSS-YD-72,1,1,110-FLOSS-YD-72,1,1,38.79,38.79,38.79,38.79
100-DENTUREBRUSH,4414/100-DENTUREBRUSH,1,1,100-DENTUREBRUSH,1,1,80.44,80.44,80.44,80.44
110-FLOSS-YD-72,4410/110-FLOSS-YD-72,1,1,110-FLOSS-YD-72,1,1,37.44,37.44,37.44,37.44
100-DENTUREBRUSH,4402/100-DENTUREBRUSH,1,1,100-DENTUREBRUSH,1,1,80.44,80.44,80.44,80.44
