"importId","name","code","country.alpha3Code","department.code"
29011,"Estacada","Estacada_Clackamas County_OR","USA","Clackamas County_OR"
29012,"Fairview","Fairview_Multnomah County_OR","USA","Multnomah County_OR"
29013,"Gervais","Gervais_Marion County_OR","USA","Marion County_OR"
29014,"Gladstone","Gladstone_Clackamas County_OR","USA","Clackamas County_OR"
29015,"Government Camp","Government Camp_Clackamas County_OR","USA","Clackamas County_OR"
29016,"Grass Valley","Grass Valley_Sherman County_OR","USA","Sherman County_OR"
29017,"Gresham","Gresham_Multnomah County_OR","USA","Multnomah County_OR"
29018,"Hood River","Hood River_Hood River County_OR","USA","Hood River County_OR"
29019,"Hubbard","Hubbard_Marion County_OR","USA","Marion County_OR"
29020,"Lake Oswego","Lake Oswego_Clackamas County_OR","USA","Clackamas County_OR"
29021,"Lake Oswego","Lake Oswego_Clackamas County_OR","USA","Clackamas County_OR"
29022,"Maupin","Maupin_Wasco County_OR","USA","Wasco County_OR"
29023,"Molalla","Molalla_Clackamas County_OR","USA","Clackamas County_OR"
29024,"Moro","Moro_Sherman County_OR","USA","Sherman County_OR"
29025,"Mosier","Mosier_Wasco County_OR","USA","Wasco County_OR"
29026,"Mount Hood Parkdale","Mount Hood Parkdale_Hood River County_OR","USA","Hood River County_OR"
29027,"Mulino","Mulino_Clackamas County_OR","USA","Clackamas County_OR"
29028,"Oregon City","Oregon City_Clackamas County_OR","USA","Clackamas County_OR"
29029,"Rainier","Rainier_Columbia County_OR","USA","Columbia County_OR"
29030,"Rhododendron","Rhododendron_Clackamas County_OR","USA","Clackamas County_OR"
29031,"Saint Helens","Saint Helens_Columbia County_OR","USA","Columbia County_OR"
29032,"Warren","Warren_Columbia County_OR","USA","Columbia County_OR"
29033,"Deer Island","Deer Island_Columbia County_OR","USA","Columbia County_OR"
29034,"Sandy","Sandy_Clackamas County_OR","USA","Clackamas County_OR"
29035,"Scappoose","Scappoose_Columbia County_OR","USA","Columbia County_OR"
29036,"The Dalles","The Dalles_Wasco County_OR","USA","Wasco County_OR"
29037,"Troutdale","Troutdale_Multnomah County_OR","USA","Multnomah County_OR"
29038,"Tualatin","Tualatin_Washington County_OR","USA","Washington County_OR"
29039,"Tygh Valley","Tygh Valley_Wasco County_OR","USA","Wasco County_OR"
29040,"Vernonia","Vernonia_Columbia County_OR","USA","Columbia County_OR"
29041,"Wasco","Wasco_Sherman County_OR","USA","Sherman County_OR"
29042,"Welches","Welches_Clackamas County_OR","USA","Clackamas County_OR"
29043,"West Linn","West Linn_Clackamas County_OR","USA","Clackamas County_OR"
29044,"Wilsonville","Wilsonville_Clackamas County_OR","USA","Clackamas County_OR"
29045,"Woodburn","Woodburn_Marion County_OR","USA","Marion County_OR"
29046,"Gresham","Gresham_Multnomah County_OR","USA","Multnomah County_OR"
29047,"Happy Valley","Happy Valley_Clackamas County_OR","USA","Clackamas County_OR"
29048,"Damascus","Damascus_Clackamas County_OR","USA","Clackamas County_OR"
