"importId","code","areaCode","city.code","county.code","state.name","country.alpha3Code"
20962,66090,"7,85,913","Wathena_Doniphan County_KS","Doniphan County_KS","KS","USA"
20963,66091,620,"Welda_Anderson County_KS","Anderson County_KS","KS","USA"
20964,66092,785,"Wellsville_Franklin County_KS","Franklin County_KS","KS","USA"
20965,66093,"6,20,785","Westphalia_Anderson County_KS","Anderson County_KS","KS","USA"
20966,66094,785,"White Cloud_Doniphan County_KS","Doniphan County_KS","KS","USA"
20967,66095,785,"Williamsburg_Franklin County_KS","Franklin County_KS","KS","USA"
20968,66097,913,"Winchester_Jefferson County_KS","Jefferson County_KS","KS","USA"
20969,66101,913,"Kansas City_Wyandotte County_KS","Wyandotte County_KS","KS","USA"
20970,66102,913,"Kansas City_Wyandotte County_KS","Wyandotte County_KS","KS","USA"
20971,66103,913,"Kansas City_Wyandotte County_KS","Wyandotte County_KS","KS","USA"
20972,66104,913,"Kansas City_Wyandotte County_KS","Wyandotte County_KS","KS","USA"
20973,66105,913,"Kansas City_Wyandotte County_KS","Wyandotte County_KS","KS","USA"
20974,66106,913,"Kansas City_Wyandotte County_KS","Wyandotte County_KS","KS","USA"
20975,66109,913,"Kansas City_Wyandotte County_KS","Wyandotte County_KS","KS","USA"
20976,66111,913,"Kansas City_Wyandotte County_KS","Wyandotte County_KS","KS","USA"
20977,66112,913,"Kansas City_Wyandotte County_KS","Wyandotte County_KS","KS","USA"
20978,66115,913,"Kansas City_Wyandotte County_KS","Wyandotte County_KS","KS","USA"
20979,66118,913,"Kansas City_Wyandotte County_KS","Wyandotte County_KS","KS","USA"
20980,66202,913,"Mission_Johnson County_KS","Johnson County_KS","KS","USA"
20981,66203,913,"Shawnee_Johnson County_KS","Johnson County_KS","KS","USA"
20982,66204,913,"Overland Park_Johnson County_KS","Johnson County_KS","KS","USA"
20983,66205,913,"Mission_Johnson County_KS","Johnson County_KS","KS","USA"
20984,66206,913,"Leawood_Johnson County_KS","Johnson County_KS","KS","USA"
20985,66207,913,"Overland Park_Johnson County_KS","Johnson County_KS","KS","USA"
20986,66208,913,"Prairie Village_Johnson County_KS","Johnson County_KS","KS","USA"
20987,66209,913,"Leawood_Johnson County_KS","Johnson County_KS","KS","USA"
20988,66210,913,"Overland Park_Johnson County_KS","Johnson County_KS","KS","USA"
20989,66211,913,"Leawood_Johnson County_KS","Johnson County_KS","KS","USA"
20990,66212,913,"Overland Park_Johnson County_KS","Johnson County_KS","KS","USA"
20991,66213,913,"Overland Park_Johnson County_KS","Johnson County_KS","KS","USA"
20992,66214,913,"Overland Park_Johnson County_KS","Johnson County_KS","KS","USA"
20993,66215,913,"Lenexa_Johnson County_KS","Johnson County_KS","KS","USA"
20994,66216,913,"Shawnee_Johnson County_KS","Johnson County_KS","KS","USA"
20995,66217,913,"Shawnee_Johnson County_KS","Johnson County_KS","KS","USA"
20996,66218,913,"Shawnee_Johnson County_KS","Johnson County_KS","KS","USA"
20997,66219,913,"Lenexa_Johnson County_KS","Johnson County_KS","KS","USA"
20998,66220,913,"Lenexa_Johnson County_KS","Johnson County_KS","KS","USA"
20999,66221,913,"Overland Park_Johnson County_KS","Johnson County_KS","KS","USA"
21000,66223,913,"Overland Park_Johnson County_KS","Johnson County_KS","KS","USA"
21001,66224,913,"Overland Park_Johnson County_KS","Johnson County_KS","KS","USA"
21002,66226,913,"Shawnee_Johnson County_KS","Johnson County_KS","KS","USA"
21003,66227,913,"Lenexa_Johnson County_KS","Johnson County_KS","KS","USA"
21004,66250,913,"Shawnee Mission_Johnson County_KS","Johnson County_KS","KS","USA"
21005,66401,785,"Alma_Wabaunsee County_KS","Wabaunsee County_KS","KS","USA"
